dim	pathway_id	pathway_names
property_200_1	00565	Ether lipid metabolism
property_200_2	00592	alpha-Linolenic acid metabolism
property_200_3	00361	Chlorocyclohexane and chlorobenzene degradation
property_200_4	00515	Mannose type O-glycan biosynthesis
property_200_5	02060	Phosphotransferase system (PTS)
property_200_6	00903	Limonene degradation
property_200_7	00121	Secondary bile acid biosynthesis
property_200_8	00525	Acarbose and validamycin biosynthesis
property_200_9	00524	Neomycin, kanamycin and gentamicin biosynthesis
property_200_10	00515	Mannose type O-glycan biosynthesis
property_200_11	01503	Cationic antimicrobial peptide (CAMP) resistance
property_200_12	00903	Limonene degradation
property_200_13	00910	Nitrogen metabolism
property_200_14	00625	Chloroalkane and chloroalkene degradation
property_200_15	00600	Sphingolipid metabolism
property_200_16	00600	Sphingolipid metabolism
property_200_17	00600	Sphingolipid metabolism
property_200_18	03450	Non-homologous end-joining
property_200_19	00410	beta-Alanine metabolism
property_200_20	00540	Lipopolysaccharide biosynthesis
property_200_21	02060	Phosphotransferase system (PTS)
property_200_22	02025	Biofilm formation - Pseudomonas aeruginosa
property_200_23	00903	Limonene degradation
property_200_24	00906	Carotenoid biosynthesis
property_200_25	02040	Flagellar assembly
property_200_26	00121	Secondary bile acid biosynthesis
property_200_27	00600	Sphingolipid metabolism
property_200_28	00380	Tryptophan metabolism
property_200_29	00600	Sphingolipid metabolism
property_200_30	00515	Mannose type O-glycan biosynthesis
property_200_31	00440	Phosphonate and phosphinate metabolism
property_200_32	00540	Lipopolysaccharide biosynthesis
property_200_33	01053	Biosynthesis of siderophore group nonribosomal peptides
property_200_34	00565	Ether lipid metabolism
property_200_35	02030	Bacterial chemotaxis
property_200_36	00515	Mannose type O-glycan biosynthesis
property_200_37	00621	Dioxin degradation
property_200_38	00903	Limonene degradation
property_200_39	00511	Other glycan degradation
property_200_40	00791	Atrazine degradation
property_200_41	00100	Steroid biosynthesis
property_200_42	02026	Biofilm formation - Escherichia coli
property_200_43	00540	Lipopolysaccharide biosynthesis
property_200_44	00920	Sulfur metabolism
property_200_45	00903	Limonene degradation
property_200_46	05150	Staphylococcus aureus infection
property_200_47	00515	Mannose type O-glycan biosynthesis
property_200_48	00121	Secondary bile acid biosynthesis
property_200_49	00540	Lipopolysaccharide biosynthesis
property_200_50	00910	Nitrogen metabolism
property_200_51	00130	Ubiquinone and other terpenoid-quinone biosynthesis
property_200_52	00860	Porphyrin metabolism
property_200_53	00480	Glutathione metabolism
property_200_54	00740	Riboflavin metabolism
property_200_55	00600	Sphingolipid metabolism
property_200_56	00410	beta-Alanine metabolism
property_200_57	00600	Sphingolipid metabolism
property_200_58	00515	Mannose type O-glycan biosynthesis
property_200_59	00511	Other glycan degradation
property_200_60	00930	Caprolactam degradation
property_200_61	00515	Mannose type O-glycan biosynthesis
property_200_62	00515	Mannose type O-glycan biosynthesis
property_200_63	00540	Lipopolysaccharide biosynthesis
property_200_64	00311	Penicillin and cephalosporin biosynthesis
property_200_65	00121	Secondary bile acid biosynthesis
property_200_66	00524	Neomycin, kanamycin and gentamicin biosynthesis
property_200_67	02040	Flagellar assembly
property_200_68	00524	Neomycin, kanamycin and gentamicin biosynthesis
property_200_69	00592	alpha-Linolenic acid metabolism
property_200_70	01040	Biosynthesis of unsaturated fatty acids
property_200_71	00540	Lipopolysaccharide biosynthesis
property_200_72	00930	Caprolactam degradation
property_200_73	00785	Lipoic acid metabolism
property_200_74	00121	Secondary bile acid biosynthesis
property_200_75	00515	Mannose type O-glycan biosynthesis
property_200_76	00600	Sphingolipid metabolism
property_200_77	00565	Ether lipid metabolism
property_200_78	02025	Biofilm formation - Pseudomonas aeruginosa
property_200_79	00480	Glutathione metabolism
property_200_80	00311	Penicillin and cephalosporin biosynthesis
property_200_81	00515	Mannose type O-glycan biosynthesis
property_200_82	00515	Mannose type O-glycan biosynthesis
property_200_83	00130	Ubiquinone and other terpenoid-quinone biosynthesis
property_200_84	01040	Biosynthesis of unsaturated fatty acids
property_200_85	00540	Lipopolysaccharide biosynthesis
property_200_86	00361	Chlorocyclohexane and chlorobenzene degradation
property_200_87	00592	alpha-Linolenic acid metabolism
property_200_88	00121	Secondary bile acid biosynthesis
property_200_89	00515	Mannose type O-glycan biosynthesis
property_200_90	00600	Sphingolipid metabolism
property_200_91	00410	beta-Alanine metabolism
property_200_92	03450	Non-homologous end-joining
property_200_93	01501	beta-Lactam resistance
property_200_94	05150	Staphylococcus aureus infection
property_200_95	00600	Sphingolipid metabolism
property_200_96	00362	Benzoate degradation
property_200_97	00410	beta-Alanine metabolism
property_200_98	00591	Linoleic acid metabolism
property_200_99	00591	Linoleic acid metabolism
property_200_100	00121	Secondary bile acid biosynthesis
property_200_101	00511	Other glycan degradation
property_200_102	00524	Neomycin, kanamycin and gentamicin biosynthesis
property_200_103	00515	Mannose type O-glycan biosynthesis
property_200_104	00660	C5-Branched dibasic acid metabolism
property_200_105	00600	Sphingolipid metabolism
property_200_106	02030	Bacterial chemotaxis
property_200_107	01054	Nonribosomal peptide structures
property_200_108	00601	Glycosphingolipid biosynthesis - lacto and neolacto series
property_200_109	00592	alpha-Linolenic acid metabolism
property_200_110	00621	Dioxin degradation
property_200_111	00524	Neomycin, kanamycin and gentamicin biosynthesis
property_200_112	00903	Limonene degradation
property_200_113	00515	Mannose type O-glycan biosynthesis
property_200_114	00121	Secondary bile acid biosynthesis
property_200_115	00311	Penicillin and cephalosporin biosynthesis
property_200_116	00515	Mannose type O-glycan biosynthesis
property_200_117	00903	Limonene degradation
property_200_118	00565	Ether lipid metabolism
property_200_119	00600	Sphingolipid metabolism
property_200_120	00785	Lipoic acid metabolism
property_200_121	00515	Mannose type O-glycan biosynthesis
property_200_122	00643	Styrene degradation
property_200_123	00380	Tryptophan metabolism
property_200_124	02026	Biofilm formation - Escherichia coli
property_200_125	00515	Mannose type O-glycan biosynthesis
property_200_126	00121	Secondary bile acid biosynthesis
property_200_127	00591	Linoleic acid metabolism
property_200_128	00515	Mannose type O-glycan biosynthesis
property_200_129	00633	Nitrotoluene degradation
property_200_130	00410	beta-Alanine metabolism
property_200_131	00930	Caprolactam degradation
property_200_132	00410	beta-Alanine metabolism
property_200_133	00515	Mannose type O-glycan biosynthesis
property_200_134	01040	Biosynthesis of unsaturated fatty acids
property_200_135	01053	Biosynthesis of siderophore group nonribosomal peptides
property_200_136	02060	Phosphotransferase system (PTS)
property_200_137	00410	beta-Alanine metabolism
property_200_138	00121	Secondary bile acid biosynthesis
property_200_139	00565	Ether lipid metabolism
property_200_140	00121	Secondary bile acid biosynthesis
property_200_141	00515	Mannose type O-glycan biosynthesis
property_200_142	00600	Sphingolipid metabolism
property_200_143	00121	Secondary bile acid biosynthesis
property_200_144	00480	Glutathione metabolism
property_200_145	00591	Linoleic acid metabolism
property_200_146	00515	Mannose type O-glycan biosynthesis
property_200_147	00903	Limonene degradation
property_200_148	01040	Biosynthesis of unsaturated fatty acids
